store,price,friendly name,city,state,zip,address,Unnamed: 6
697,239.0,Concord,Concord,NC,28027,940 Concord Pkwy North,
685,239.0,Pearland,Pearland,TX,77581,2741 Broadway St,
682,239.0,Southport,Southport,NC,28461,5084 Southport - Supply Rd Southeast,
681,239.0,N. Central Houston,Houston,TX,77008,1521 North Loop West,
680,239.0,Monroe,Monroe,NC,28110,2350 West Roosevelt Blvd,
679,239.0,W. Evansville,Evansville,IN,47712,103 South Red Bank Rd,
678,239.0,Cumming,Cumming,GA,30041,935 Marketplace Blvd,
677,239.0,Clayton,Garner,NC,27529,101 Cleveland Crossing Dr,
675,239.0,E. Charleston,Charleston,WV,25304,5750 Maccorkle Ave SE,
674,239.0,W. Chandler,Chandler,AZ,85226,7100 West Ray Rd,
671,239.0,Washington,Washington,PA,15301,Strabane Square 355 Washington Rd,
670,239.0,S. Orlando,Orlando,FL,32819,2800 West Sandlake Rd,
676,239.0,S. Richmond,Richmond,VA,23225,2501 Sheila Ln,
696,239.0,Melbourne,Melbourne,FL,32904,2150 Minton Rd,
698,239.0,Oxford,Oxford,AL,36203,1836 U.S. Highway 78 East,
701,239.0,Wilkesboro,Wilkesboro,NC,28697,2003 U.S. Highway 421,
724,239.0,Port Richey,New Port Richey,FL,34654,8312 Little Rd,
722,239.0,Murray,Murray,KY,42071,1400 Lowe's Dr,
721,239.0,Olathe,Olathe,KS,66062,13750 South Blackbob Rd,
720,239.0,Timonium,Timonium,MD,21093,19 Texas Station Court,
718,239.0,Kingsport,Kingsport,TN,37660,2526 East Stone Dr,
719,239.0,St. Mary's County,California,MD,20619,45075 Worth Ave,
717,239.0,Franklin,Franklin,NC,28734,161 Franklin Plaza,
716,239.0,N.W. Tallahassee,Tallahassee,FL,32303,5500 Commonwealth Blvd,
715,239.0,Alexandria,Alexandria,VA,22306,6750 Richmond Highway,
714,239.0,E. Mesa,Mesa,AZ,85206,1440 South Higley Rd,
713,239.0,Bloomfield Township,Bloomfield Hills,MI,48302,1801 Telegraph Rd,
712,239.0,Pascagoula,Pascagoula,MS,39581,3301 Denny Ave,
711,239.0,N. Columbus,Columbus,OH,43240,1465 Polaris Pkwy,
710,239.0,John's Creek,Suwanee,GA,30024,3580 Peachtree Pkwy,
709,239.0,W. Chesapeake,Chesapeake,VA,23321,4708 Portsmouth Blvd,
706,239.0,Chambersburg,Chambersburg,PA,17201,1600 Lincoln Way East,
708,239.0,Heath,Heath,OH,43056,888 Hebron Rd,
705,239.0,S.W. Louisville,Louisville,KY,40258,6651 Dixie Highway,
707,239.0,Martinsville,Martinsville,VA,24112,1059 Commonwealth Blvd,
704,239.0,Coral Springs,Coral Springs,FL,33067,3651 Turtle Creek Dr,
702,239.0,Largo,Upper Marlboro,MD,20774,10440 Campus Way South,
703,239.0,Jensen Beach,Jensen Beach,FL,34957,4100 Northwest Federal Highway,
700,239.0,Lincolnton,Lincolnton,NC,28092,1603 East Main St,
727,239.0,Tullahoma,Tullahoma,TN,37388,2211 North Jackson St,
180,239.0,Greensburg,Greensburg,PA,15601,Hempfield Square, Rt. 30 W.
545,239.0,W. Marietta,Marietta,GA,30064,2650 Dallas Hwy. S.W.,
541,239.0,Poughkeepsie,Poughkeepsie,NY,12601,1941 South Rd,
356,239.0,Montoursville,Montoursville,PA,17754,701 Loyalsock Ave,
351,239.0,Bartlesville,Bartlesville,OK,74006,2205 SE Adams Blvd.,
342,239.0,Murray,Murray,UT,84123,469 West 4500 South,
340,239.0,Arvada,Arvada,CO,80002,5405 Wadsworth Bypass,
330,239.0,Holland,Holland,MI,49424,12635 Felch St Suite 10,
321,239.0,Reno,Reno,NV,89511,5075 Kietzke Ln,
319,239.0,Billings,Billings,MT,59102,2717 King Ave West,
318,239.0,Pueblo,Pueblo,CO,81008,1225 Highway 50 West,
317,239.0,Cape Girardeau,Cape Girardeau,MO,63701,3440 Lowes Dr,
316,239.0,Chino Hills,Chino Hills,CA,91709,13251 Peyton Dr,
358,239.0,Summerville,Summerville,SC,29483,1207 North Main St,
313,239.0,Cullman,Cullman,AL,35055,1717 Cherokee Avenue, Sw
303,239.0,Middletown,Middletown,OH,45044,3125 Towne Blvd,
298,239.0,Wilmington,Wilmington,OH,45177,1175 Rombach Ave,
297,239.0,Alliance,Alliance,OH,44601,2595 West State St,
292,239.0,Hazleton,West Hazleton,PA,18202,200 Weis Ln,
289,239.0,Anchorage,Anchorage,AK,99503,333 East Tudor Rd,
288,239.0,N.E. Indianapolis,Indianapolis,IN,46250,8002 North Shadeland Ave.,
285,239.0,Lynnwood,Lynnwood,WA,98036,3100 196th S.W.,
282,239.0,Victoria,Victoria,TX,77904,8602 North Navarro St,
281,239.0,Enterprise,Enterprise,AL,36330,1301 Boll Weevil Cir,
279,239.0,Reading,Reading,PA,19605,500 Madison Ave,
305,239.0,St. Joseph,Saint Joseph,MO,64506,3901 N. Belt Highway,
357,239.0,Kokomo,Kokomo,IN,46902,4005 South Lafountain,
377,239.0,Pineville,Charlotte,NC,28226,10625 Mcmullen Creek Pkwy,
381,239.0,W. Richmond,Richmond,VA,23294,9490 West Broad St,
426,239.0,Cary,Cary,NC,27518,2000 Walnut St,
425,239.0,Chattanooga,Chattanooga,TN,37421,2180 Gunbarrel Rd,
424,239.0,Salisbury,Salisbury,MD,21801,2606 N. Salisbury Blvd.,
423,239.0,Tuscaloosa,Tuscaloosa,AL,35405,4900 Oscar Baxter Dr,
422,239.0,Springfield,Springfield,MO,65804,1850 East Primrose,
420,239.0,Newport News,Newport News,VA,23602,300 Chatham Dr,
419,239.0,Roanoke,Roanoke,VA,24012,5040 Rutgers Street, N.W.
