store,price
1001,239.00
1003,239.00
1004,239.00
1006,239.00
1008,239.00
1010,239.00
1013,239.00
1014,239.00
1016,239.00
1019,239.00
1022,239.00
1023,239.00
1024,239.00
1026,239.00
1030,239.00
1031,239.00
1032,239.00
1033,239.00
1034,239.00
1035,239.00
1037,239.00
1038,239.00
1040,239.00
1041,239.00
1042,239.00
1043,239.00
1045,239.00
1046,239.00
1047,239.00
1048,239.00
1050,95.60
1052,239.00
1053,239.00
1054,239.00
1055,239.00
1057,239.00
1058,239.00
1059,239.00
1060,239.00
1064,239.00
1065,239.00
1066,239.00
1067,239.00
1068,239.00
1069,239.00
1070,239.00
1071,239.00
1072,239.00
1073,239.00
1074,239.00
1075,239.00
1076,239.00
1077,239.00
1078,239.00
1079,239.00
1080,239.00
1081,239.00
1082,239.00
1083,239.00
1084,239.00
1085,239.00
1086,239.00
1087,239.00
1088,239.00
1089,239.00
1090,239.00
1091,239.00
1092,239.00
1093,239.00
1094,239.00
1095,239.00
1096,239.00
1097,239.00
1098,239.00
1099,239.00
1105,239.00
1106,239.00
1107,239.00
1108,239.00
1109,239.00
1110,239.00
1111,239.00
1112,239.00
1113,239.00
1114,239.00
1115,239.00
1116,239.00
1117,239.00
1118,239.00
1119,239.00
1120,239.00
1121,239.00
1122,239.00
1123,239.00
1124,239.00
1125,239.00
1126,239.00
1127,239.00
1128,239.00
1130,239.00
1131,239.00
1132,239.00
1133,239.00
1134,239.00
1135,239.00
1136,239.00
1137,239.00
1138,239.00
1139,239.00
1140,239.00
1141,239.00
1142,239.00
1143,239.00
1144,239.00
1145,239.00
1146,239.00
1147,239.00
1148,239.00
1149,239.00
1150,239.00
1151,239.00
1152,239.00
1153,239.00
1155,239.00
1156,239.00
1157,239.00
1158,239.00
1159,239.00
1160,239.00
1161,239.00
1162,239.00
1163,239.00
1164,239.00
1165,239.00
1166,239.00
1167,239.00
1168,239.00
1170,239.00
1174,239.00
1175,239.00
1176,239.00
1177,239.00
1180,239.00
1181,239.00
1184,239.00
1185,239.00
1186,239.00
1187,239.00
1188,239.00
1189,239.00
1190,239.00
1191,239.00
1192,239.00
1193,239.00
1195,239.00
1196,239.00
1197,239.00
1198,239.00
1199,239.00
1200,239.00
1201,239.00
1202,239.00
1203,239.00
1204,239.00
1205,239.00
1206,239.00
1207,239.00
1209,239.00
1210,239.00
1211,239.00
1500,239.00
1501,239.00
1502,239.00
1503,239.00
1504,239.00
1505,239.00
1506,239.00
1507,239.00
1508,239.00
1509,239.00
1510,239.00
1511,239.00
1512,239.00
1513,239.00
1514,239.00
1515,239.00
1516,239.00
1517,239.00
1518,239.00
1519,239.00
1520,239.00
1521,239.00
1522,239.00
1523,239.00
1524,239.00
1525,239.00
1526,239.00
1527,239.00
1528,239.00
1529,239.00
1530,239.00
1531,239.00
1532,239.00
1533,239.00
1534,239.00
1535,239.00
1536,239.00
1537,239.00
1538,239.00
1539,239.00
1540,239.00
1541,239.00
1542,239.00
1543,239.00
1544,239.00
1545,239.00
1546,239.00
1547,239.00
1548,239.00
1549,239.00
1551,239.00
1552,239.00
1553,239.00
1554,239.00
1555,239.00
1556,239.00
1557,239.00
1558,239.00
1559,239.00
1560,239.00
1561,239.00
1562,239.00
1563,239.00
1564,239.00
1565,239.00
1566,239.00
1567,239.00
1568,239.00
1569,239.00
1570,239.00
1571,239.00
1572,239.00
1573,239.00
1574,239.00
1575,239.00
1576,239.00
1577,239.00
1579,239.00
1580,239.00
1581,239.00
1582,239.00
1583,239.00
1584,239.00
1585,239.00
1588,239.00
1590,239.00
1591,239.00
1592,239.00
1593,239.00
1595,239.00
1596,239.00
1597,239.00
1598,239.00
1599,239.00
1600,239.00
1601,239.00
1602,239.00
1603,239.00
1604,239.00
1605,239.00
1606,239.00
1607,239.00
1608,239.00
1609,239.00
1610,239.00
1611,239.00
1612,239.00
1613,239.00
1614,239.00
1615,239.00
1616,239.00
1617,239.00
1618,239.00
1619,239.00
1620,239.00
1621,239.00
1622,239.00
1623,239.00
1624,239.00
1625,239.00
1626,239.00
1627,239.00
